                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.81825,                0.78473,                 1.2224,                0.87411,                0.87063,                0.90442,                0.69039,                0.88945,                0.70236,                 1.2646,               0.008185,               0.008185,               0.008185
                     57,                0.82944,                0.78654,                 1.2288,                0.84981,                0.85376,                0.89436,                0.67363,                0.89001,                0.70734,                 1.2656,               0.008152,               0.008152,               0.008152
                     58,                0.80582,                0.77988,                 1.2158,                   0.87,                0.87349,                0.90268,                0.68434,                0.88174,                0.69594,                 1.2682,               0.008119,               0.008119,               0.008119
                     59,                0.78975,                0.76259,                 1.2085,                0.87538,                0.88066,                0.90443,                0.68366,                0.87134,                 0.6803,                 1.2611,               0.008086,               0.008086,               0.008086
                     60,                0.80523,                0.76997,                 1.2169,                0.82635,                0.87264,                 0.8812,                0.66559,                 0.8775,                0.69996,                 1.2655,               0.008053,               0.008053,               0.008053
                     61,                0.81208,                0.76568,                 1.2106,                0.84848,                0.88141,                0.90056,                0.67753,                0.88441,                0.69482,                 1.2667,                0.00802,                0.00802,                0.00802
                     62,                 0.8024,                 0.7564,                 1.2053,                0.87793,                0.84978,                0.90596,                0.69103,                0.86923,                0.67761,                 1.2657,               0.007987,               0.007987,               0.007987
                     63,                0.80536,                0.76884,                 1.2154,                0.85715,                0.86852,                0.89491,                0.67584,                0.86959,                0.68807,                 1.2731,               0.007954,               0.007954,               0.007954
                     64,                0.80959,                0.77472,                  1.213,                 0.8741,                0.86876,                0.90859,                0.68743,                0.88465,                0.66434,                 1.2541,               0.007921,               0.007921,               0.007921
                     65,                0.79447,                0.73324,                  1.204,                 0.8916,                0.86454,                0.90716,                0.69808,                0.86695,                0.67346,                 1.2559,               0.007888,               0.007888,               0.007888
                     66,                0.78862,                0.73962,                  1.199,                0.88137,                0.86025,                0.90745,                 0.6814,                0.89057,                0.68408,                 1.2808,               0.007855,               0.007855,               0.007855
                     67,                0.78828,                0.72803,                 1.1989,                0.86026,                0.86687,                 0.9005,                0.68431,                 0.8828,                 0.6869,                 1.2751,               0.007822,               0.007822,               0.007822
                     68,                0.77909,                0.72855,                 1.1961,                0.89642,                0.84785,                0.90356,                0.69118,                 0.8662,                0.66992,                 1.2545,               0.007789,               0.007789,               0.007789
                     69,                0.77682,                0.71702,                 1.1885,                   0.87,                0.86889,                0.90212,                0.69551,                0.87783,                0.65379,                 1.2691,               0.007756,               0.007756,               0.007756
                     70,                0.77874,                0.71429,                 1.1928,                 0.8679,                0.86256,                0.90129,                0.69148,                0.85375,                0.68829,                 1.2344,               0.007723,               0.007723,               0.007723
                     71,                0.77559,                0.69907,                   1.19,                0.86717,                0.85776,                 0.8986,                0.68189,                0.85857,                0.68571,                 1.2523,                0.00769,                0.00769,                0.00769
                     72,                0.77671,                0.71757,                 1.1892,                0.89032,                0.84161,                0.90317,                0.69469,                0.85674,                0.67887,                 1.2455,               0.007657,               0.007657,               0.007657
                     73,                0.75596,                0.71689,                 1.1837,                0.85264,                0.88438,                0.90505,                0.69637,                0.84646,                0.65512,                 1.2361,               0.007624,               0.007624,               0.007624
                     74,                0.77634,                0.70556,                 1.1869,                 0.8692,                0.86636,                0.90348,                0.69846,                0.83599,                0.67043,                 1.2305,               0.007591,               0.007591,               0.007591
                     75,                0.77838,                0.70581,                 1.1912,                0.86248,                0.87769,                0.90773,                0.70094,                0.85559,                0.66551,                 1.2427,               0.007558,               0.007558,               0.007558
